bldgarea,bldgdepth,builtfar,facilfar,lotarea,lotdepth,numbldgs,numfloors,resarea,residfar,age,count
4136.0,45.0,3.15,4.0,1311.0,48.0,1,4,4136.0,4.0,153,38
1975.0,35.0,0.75,2.0,2640.0,90.0,1,2,1570.0,0.75,90,15
8076.0,67.0,4.36,4.0,1854.0,77.0,1,5,6876.0,4.0,134,53
22270.0,89.0,4.59,4.0,4850.0,97.0,1,6,22270.0,4.0,91,27
1144.0,26.0,0.4,1.0,2856.0,75.0,1,2,1144.0,0.5,55,22
1092.0,34.0,0.61,1.0,1800.0,100.0,1,2,1092.0,0.5,85,4
2700.0,25.0,4.29,4.0,630.0,34.6,1,5,2250.0,4.0,159,13
11000.0,88.0,4.51,4.0,2438.0,99.3,1,5,11000.0,4.0,129,31
12200.0,82.0,4.19,4.0,2910.0,97.0,1,6,10170.0,4.0,111,15
9250.0,76.0,3.81,4.0,2424.0,97.0,1,5,9250.0,4.0,139,7
1024.0,27.0,0.57,2.0,1800.0,90.0,1,2,1024.0,0.75,100,4
2560.0,16.0,5.14,4.0,498.0,16.0,1,5,2560.0,4.0,159,65
1106.0,27.0,0.61,1.0,1800.0,90.0,2,2,1106.0,0.5,105,2
1094.0,27.0,0.61,1.0,1800.0,90.0,2,2,1094.0,0.5,105,40
2120.0,53.0,1.06,2.0,2000.0,100.0,1,2,2120.0,1.25,110,37
2800.0,65.0,1.4,2.0,2000.0,100.0,2,2,2050.0,1.25,100,5
6270.0,54.0,2.73,4.0,2300.0,100.0,1,4,6270.0,4.0,166,11
13390.0,70.0,3.98,4.0,3368.0,47.75,1,4,13390.0,4.0,17,3
59230.0,115.0,4.9,4.0,12080.0,117.25,1,5,4036.0,4.0,94,25
8750.0,75.0,2.33,6.5,3750.0,75.0,1,5,6250.0,3.44,140,5
2240.0,40.0,1.28,6.5,1755.0,78.0,1,4,2240.0,3.44,196,51
4290.0,77.0,1.76,6.5,2440.0,100.0,1,3,3720.0,6.02,187,9
2780.0,34.0,0.7,1.0,4000.0,100.0,2,2,2100.0,0.5,76,42
1352.0,39.0,0.68,2.0,2000.0,100.0,2,2,1352.0,0.75,90,100
2220.0,67.0,1.61,2.0,1380.0,69.0,1,2,1110.0,2.0,100,26
8750.0,74.0,4.03,6.5,2176.0,87.0,1,5,7356.0,3.44,132,43
1240.0,38.0,0.62,1.0,2000.0,100.0,2,2,1240.0,0.5,100,52
4020.0,65.0,1.93,4.8,2080.0,100.0,1,4,4020.0,2.43,21,21
11400.0,60.66,3.9,6.5,2924.0,77.2,1,5,9330.0,3.44,176,1
6864.0,52.0,2.74,6.5,2508.0,100.0,1,5,6064.0,3.44,142,33
1896.0,44.0,0.89,1.0,2140.0,93.0,2,2,1896.0,0.5,110,39
7604.0,79.0,1.5,2.0,5076.0,126.9,1,3,7604.0,1.35,16,24
5000.0,56.9,3.45,6.5,1451.0,56.9,1,3,3600.0,3.44,186,2
11070.0,86.0,4.46,6.5,2484.0,100.0,1,6,10270.0,3.44,123,2
